architecture_id	split	rank	chiplet_x	chiplet_y	cut_x	cut_y	interval	mtxu_h	mtxu_w	ubuf	nop_bw	dram_bw
arch_a	dev	0	7	3	1	1	0.0014	144	128	524288	144	128
arch_b	dev	1	4	5	2	1	0.0017	128	128	1048576	112	224
arch_c	dev	2	4	4	2	2	0.0026	160	208	1048576	208	128
arch_d	heldout	0	5	6	1	2	0.0011	160	80	524288	144	128
arch_e	heldout	1	8	1	8	1	0.0005	160	176	4194304	64	128
arch_f	heldout	2	4	2	4	2	0.0005	176	160	4194304	208	128
arch_g	heldout_v2	0	6	4	3	1	0.0009	128	176	2097152	176	160
arch_h	heldout_v2	1	3	8	1	4	0.0021	176	112	524288	96	192
arch_i	heldout_v2	2	9	2	3	2	0.0013	144	160	2097152	224	96
