title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"ThermoDSE: A Thermal-Aware and Comprehensive Design Space Exploration for Chiplet-Based DNN Accelerators",2026,"arXiv preprint","https://arxiv.org/abs/2607.07096","system/tool",4,3,4,A,"Direct DSE front end; does not certify abstraction adequacy","Recent public preprint; venue status not treated as peer-reviewed"
"Monad: Towards Cost-effective Specialization for Chiplet-based Spatial Accelerators",2023,"arXiv / chiplet accelerator paper","https://arxiv.org/abs/2302.11256","pure method",4,4,4,A,"Joint architecture and integration DSE baseline","Strong fit to candidate generation"
"Multi-Objective Hardware-Mapping Co-Optimisation for Multi-DNN Workloads on Chiplet-based Accelerators",2024,"IEEE Transactions on Computers","https://arxiv.org/abs/2210.14657","pure method",4,4,4,A,"Shows mapping couplings required for physical realizability","Journal version verified through DOI metadata"
"Temperature-Aware Sizing of Multi-Chip Module Accelerators for Multi-DNN Workloads",2023,"DATE","https://past.date-conference.com/proceedings-archive/2023/DATA/540.pdf","pure method",4,4,4,A,"Close thermal MCM design baseline","Official DATE archive"
"HotSpot: A Dynamic Compact Thermal Model at the Processor-Architecture Level",2003,"Microelectronics Journal","https://doi.org/10.1016/S0026-2692(03)00206-4","system/tool",5,5,5,A,"Thermal-model foundation and scope boundary","Foundational model"
"Counterexample-Guided Abstraction Refinement",2000,"CAV","https://doi.org/10.1007/10722167_15","theory/proof",5,5,4,Risk,"Generic CEGAR is prior art","Foundational abstraction-refinement work"
"Formal Property Verification by Abstraction Refinement",2001,"DAC","https://www.cs.cmu.edu/~dongw/DAC01.pdf","system/tool",4,4,4,Risk,"Abstraction refinement is established in EDA verification","Direct venue-specific novelty caution"
"Exact and Approximate Schemes for Robust Optimization Problems with Decision-Dependent Information Discovery",2024,"INFORMS Journal on Computing","https://arxiv.org/abs/2208.04115","pure method",5,5,4,Risk,"Closest generic robust co-optimization framework","Inspect before any joint design-analysis novelty claim"
"The Robust Selection Problem with Information Discovery",2026,"Discrete Applied Mathematics","https://arxiv.org/abs/2501.02510","theory/proof",4,4,3,Risk,"Queries before robust selection","Close to the proposed regret extension"
"Query-Competitive Algorithms for Cheapest Set Problems under Uncertainty",2016,"Theoretical Computer Science","https://doi.org/10.1016/j.tcs.2015.11.025","theory/proof",4,4,3,A,"Minimum queries to identify a cheapest feasible set","Important query-complexity context"
"Optimal Feature Selection for Decision Robustness in Bayesian Networks",2017,"IJCAI","https://www.ijcai.org/proceedings/2017/215","pure method",4,4,4,Risk,"Selects information to preserve decisions","Closest decision-focused feature precedent"
"Near-Optimal Sensor Placements in Gaussian Processes",2008,"JMLR","https://jmlr.org/beta/papers/v9/krause08a.html","method + theory",5,5,5,A,"Mutual-information sensor placement baseline","Foundational submodular result"
"Robust Submodular Observation Selection",2008,"JMLR","https://jmlr.org/beta/papers/v9/krause08b.html","method + theory",5,5,5,A,"Worst-case observation selection with costs","Strong robust observation baseline"
"Adaptive Submodularity: Theory and Applications in Active Learning and Stochastic Optimization",2011,"JAIR","https://arxiv.org/abs/1003.3967","theory/proof",5,5,4,A,"Boundary for adaptive extensions","Foundational theory"
"PhySense: Sensor Placement Optimization for Accurate Physics Sensing",2025,"NeurIPS","https://proceedings.neurips.cc/paper_files/paper/2025/hash/332b4fbe322e11a71fa39d91c664d8fa-Abstract-Conference.html","method + benchmark",4,5,5,A,"Reconstruction-driven sensor placement; contrast with decision sufficiency","Official proceedings"
